직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
데이터,현직원,서울,2019. 10,4.0,"""한해가 다르게 발전하고 있는 곳. 지난 6개월, 1년 서비스도 회사 로켓을 탔다.""","
연차 사용 자유롭니다. 탄력 근무제로 출근 시간이 여유가 있다. 인센티브로 연봉 외에 성과급이 1년에도 몇번이 있다. 서비스 빠르게 성장하다 보니 제자리 걸음을 하다가는 뒤쳐진다. 외국인, 영어 사용이 많고 분위기가 자유롭다.
","
본인 업무에만 집중하는 개인 주의, 영어가 자유롭지 않으면 어울리기 어려운 절반 가까운 동료들, 나이와 경력이 비슷한 동료들과의 경쟁 그리고 수치 위주의 평가와 권고사직.
","
크지 않은 조직인데 오래 회사를 다닌 분들 조차도 서로 잘 모르는 경우가 많은 것 같습니다. 팀별로 더 화합할수있는 기회가 있으면 좋겠습니다.
"
개발,전직원,서울,2018. 12,4.0,"""글로벌 환경에서 플랫폼 경험을 쌓기 좋음""","
매출 잘 나와서 월급 밀릴 걱정은 없음 (성과에 따라 인센티브 지급)연차 자유롭게 사용할 수 있음회의, 업무 진행할 때 수평적으로 진행세미나 / 컨퍼런스 적극 지원
","
핵심인력만 구성된 작은 규모라는 장점을 살리지 못하고 더디고 모호한 의사결정으로 인해 가능성은 풍부하나 발전이 더딤업무 외적인 부분에서 이해하기 힘든 마이크로 매니징이 스트레스
","
불합리한 부분, 비효율적인 업무방식을 개선하려는 직원들의 의견을 진지하게 들어줬으면 좋겠음
"
개발,전직원,서울,2018. 11,4.0,"""성장세가 빠른곳. 글로벌 서비스를 경험 할 수 있다""","
자유로운 분위기, 스타트업이지만 경력자가 많아 배울것이 많다
","
수평적인 문화를 추구하였으나 성장하고 사람이 많아지면서 수직적으로 변해가고 있다
","
다양한 복지가 만들어 지면 좋겠다. 스타트업이지만 크게 성자하는것에 비해 아직 조직 문화가 부족한것 같다
"
개발,전직원,서울,2018. 06,2.0,"""콘텐츠퍼스트라는 이름답게 사람보다 콘텐츠가 우선이다.""","
8시~10시 사이 출근 일 자체는 도전이 없고 편함.
","
복지가 없음.면접 때 들은 건 출근이 8~10시 사이인 것 밖에 없음. 스타트업 치고 분위기가 경험해본 곳 중 최악.직원간 그리고 부서간 경쟁을 붙이려 하는데 비해 인사관리가 전혀 안됨.현재 경영진 능력으로는 조직관리와 업무체계 정리가 불가능함.조직 시스템과 워크 플로우에 대한 이해도 부족으로 인해 직원을 신뢰하지 못하거나 너무 의존적인, 양극의 모습이 보임.
","
능력의 한계를 인정하고 경영에서 손을 떼는 것이 기업 성장에 도움이 될 것임.
"
기획/경영,전직원,서울,2023. 06,3.0,"""골프나 치며 적당히 다니기에 좋은 회사. 커리어 욕심 있으면 고민해봐야 할 회사""","
연차 셀프 승인. 커피머신 좋음. 사무실 인테리어 좋음
","
장점빼고전부다. 고인물들 위주로 모든 의사결정과 분위기 형성되며 자기들은 아니라고 하지만 모두가 안다. 절대 안바뀜.
","
부서별로 빌런이나 일 안하는 사람 대놓고 눈에 보이고 자기들도 다 알면서 원년멤버라고 챙기지 말고 회사를 위해 정리했으면
"
금융/재무,전직원,서울,2023. 05,3.0,"""일하는 사람만 일하는 곳. 팀을 잘 만나면 편하게 회사생활 가능.""","
깨끗한 사무실, 밀리지 않는 월급? 기본적인 복지제도는 갖추고 있다고 생각함
","
10년이상 다닌 고인물들이 가장 큰 단점임. 회사 발전이 불가능...
","
딱히 바라는 거 없습니다 보여주기식 쇼잉만 하지 말아주세요
"
법률/법무,전직원,서울,2023. 04,5.0,"""복지가 아주 좋고 직원들 많이 신경써줘요 다니면서 만족했어요""","
연차 쓰는데 눈치 볼 필요없고 수평적인 문화이며 직원사기를 위해 신경을 많이써줘요
","
몇몇사람들은 너무 일을 안하는것같고 정치질도 좀 있어요
","
물론 힘든 자리지만 밑에 직원들의 말에도 좀 더 귀 기울여주면 좋겠어요
"
유통/무역,전직원,서울,2023. 03,4.0,"""즐겁게 일할 수 있는 곳, 복지가 좋은 편, 워라밸이 좋은 기업,""","
휴가 눈치 안보고 사용가능, 사내 분위기가 좋다. 야근 거의 없고 칼퇴 가능. 워라벨이 좋은 기업, 골프용품 직원가로 구매가능
","
사원보다 과장 차장이 더 많음, 더 이상 큰 성장의 가능성은 보이지 않음. 약간 답답한 사이즈의 사무실
","
퇴사한 사람으로써 딱히 바라는 점은 없습니다만.
"
영업/제휴,전직원,서울,2022. 12,3.0,"""네임밸류가 있어서 이직할 때 좋습니다. 나름 외국계 회사임""","
대기업 복지 쫒아가려고 노력함. ( 커피 제공, 아침에 빵 제공, 복지비 지원, 단체보험)
","
전형적인 꼰대문화,, 오래 다닌사람들이 대부분이라서 꼰대문화가 심각,,,새로 입사한 사람은 이방인 취급
","
군대 문화 줄여줬으면 좋겠고, 아랫사람들 얘기에 경청해 주셨으면 좋겠습니다.
"
미디어/홍보,전직원,서울,2022. 08,3.0,"""딱히 좋지도 나쁘지도 무난하다그냥그냥 다니고 놀고 싶으면 추천합니다""","
연차 맘대로 쓸수있고 업무적인 압박도 없다.그치만 미래는 걱정됨
","
외국에서 컨트롤 권한을 가지고 있고인사팀 권한이 너무 쎄서... 일이 제대로 돌아가는건지 싶음
","
각 부서에서 제 역할을 다해야한다고 생각해여매출액 늘리기에만 집중하면 안된다 생각함..
"
기획/경영,현직원,서울,2022. 07,2.0,"""젊은 사람들이 못버티고 다 떠나는 회사이미 퇴사했거나, 이직 준비중이거나 둘중 하나인 회사""","
1. 깔끔하고 쾌적한 사무실2. 커피머신 보유-커피 맛있고 커피값 안들음3. 골프 좋아하는 사람들은 누릴수 있는 복지가 많음 (골프 안치면 해당x)4. 일부 편하고 워라밸 좋은 부서 있음5. 자율출퇴근이 정착 되어있음6. 언제까지 지속될진 모르나 현재 골프 호황이라 외형적으로 성장중인건 맞음
","
1. 우물안 개구리같은 고인물들이 너무 많음. 이게 모든 문제의 원흉..2. 체계도 없고 비효율적, 비합리적으로 행해지는 일이 많은데 이에 대한 문제의식, 개선의지가 전혀 없음. 본인들이 수십년간 해온 방식 만이 정답이라고 믿음3. 불분명한 r&r로 인해 중간에 떠있는 일, 지들이 하기 싫은 일은 젊은 사람들한테 짬처리 시킴4. 겉으로 자유로운척 외국계인척 하는데 걍 국내 중소기업같은 분위기ㅎ5. 안그래도 포괄임금제+연봉 낮은편인데 연봉인상률 마저 극악… 6. 어느 회사를 가도 있다고는 하지만 어디서도 보지 못한 역대급 빌런이 몇몇 잇음
","
고인물들 한번 물갈이 하지 않는 한 똑같을 것 같습니다
"
유통/무역,전직원,서울,2022. 06,2.0,"""변화를 싫어하는 기존 세력들. 변화를 시도하려는 외부 인력들.그 두 그룹이 기싸움중. 보통 15년 20년씩 근무자들 많음 업무 공유 안하고 텃세. 팀장으로 가기에는 초반 적응 성과 내기 어려움. 어느 부서로 가는지에 따라 근무 환경 다름""","
복지 좋은. 칼퇴가능 연차사용 눈치 안봄 회사 인테리어 좋음 하지만 사내 정치(저녁술) 담배 해야 승진 가능. 일만 하면 바보됨..
","
남성중심 임원 단 두명이 여자 여자가 성공하기 한정적 새로운 사업을 시도 하지만 경영진 능력 역부족
","
정치를 그만하고 일을 하죠 자기라인 챙기지만 말고 자기 개발을 하죠 술만 마시지 말고 일좀 하시죠
"
금융/재무,현직원,서울,2022. 06,1.0,"""외국계의 탈을 쓴 로컬기업....외국계 다니다 온 사람들은 적응 못함일 할때는 로컬, 연봉인상은 외국계...""","
수요일/금요일아침에 빵을 주는데 선착순 커피머신 좋음 (라떼가능)
","
로컬임.(외국계 아님)재택 못함(할 수 있다고 하지만 실제로는 못함)
","
왜 사람들이 퇴사하는지 생각해보시길...
"
마케팅/시장조사,전직원,서울,2022. 06,3.0,"""직원에 대한 복지에 아끼지 않지만 사내 고인물들의 정치로 적응 못하면 힘들 수 있음""","
위치가 좋고 유연 근무제 도입으로 자유로운 재택근무를 할 수 있습니다.골프에 대한 지원을 아끼지 않아 골프 실력을 성장시킬 수 있습니다.
","
각자 담당하는 업무 범위가 넓어서 깊게 파고든다기 보단 멀티 플레이를 자주 하는 업무가 종종 있어서 단점으로 느껴질 수 있을 듯 합니다.
","
신규 사업에 대한 적극적인 추진과 직원들의 복지보다 연봉 상승에 대해 더 신경쓰면 좋겠습니다.
"
교육,현직원,서울,2022. 05,4.0,"""무늬만 외국계 한국회사. 사람들은 착한편. 연차자유로움.""","
연차 자유로움. 비교적 자유로운 분위기.업무강도 부바부지만 칼퇴 가능. 유연근무제. 복지 괜찮.시스템 잘 되있는편.
","
주말에 사비 10 만원 내고 자차로 3시간거리 워크샵 가야하는 회사.연봉 낮고, 상승률도 낮으며, 사람 귀한지 모름.노는거,회식,골프 좋아하는 임원진.앞에선 웃고 뒤에서 통수치고 욕하는 일본인같은 문화.젊은 사람들 다 퇴사중
","
꼰대문화 없애주세요.일하는 사람 인정하고 보상해달라.인사팀 쇼잉하지말고, 내실있는 복지 좀.
"
기획/경영,전직원,서울,2022. 04,3.0,"""적당한 네임밸류 있는 회사에서 욕심없이 롱런 하면서 술 먹고 적당히 내 할일 하면서 워라밸 챙길 수 있는 회사""","
골프업계가 호황이라 딱히 내가 성과를 내기 위해 노력하지 않아도 기본적인 매출은 하는 것 같음 그래서 회사가 별다른 매출 압박이 없음
","
매출 압박이 없는 만큼 발전 의지도 없음 그냥 계속 제자리임 구태의연한 회사 그자체고 변화를 싫어하고 오래된 사람들이 한자리 하면서 고인물체제가 있음
","
오래된 사람중에 일 안하고 그자리에 있는 사람들이 너무 많은데 정때문에 붙잡고 있는 사람들이 너무 많음 모두를 위해서 쳐냈음 좋겠음 일 못하는 사람들 때문에 여러 사람이 너무 힘들어짐
"
영업/제휴,현직원,서울,2022. 03,2.0,"""네임밸류 쫓아오기는 좋은곳 어딘가 모르게 제자리에 멈춰있는 듯한 회사""","
커피머신, 깨끗한 회사 시설, 재택근무(할수있는 팀에 한해), 청담 압구정쪽에 위치함
","
부서 팀 마다 분위기가 많이 다름(리더의 성향에 따라 달라지는 회사생활), 낮은 연봉, 승진기회 0
","
승진기회가 없으니 리더나 팀장 자리가 항상 고정되어있어 이것이 사기저하의 큰 요인임
"
디자인,현직원,서울,2022. 03,3.0,"""전형적인 중소기업 체계도 없고 이리저리 흔들리는 회사임""","
외국계라서 타이트하지않는 업무강도 그리고 전문성이 떨어져 업무 푸쉬가 없다?
","
대기업을 따라가고자 하는 인사제도, 받쳐주지않는 업무환경,고인물들의 텃세
","
비효율적인 조직에 대한 업무 재정리가 필요하다 고인물들의 물갈이가 필요하지않을까요?
"
디자인,현직원,서울,2022. 02,1.0,"""이름만 외국계. 체계적인 업무 활동불가.서로 일 안하려고 미룸. 책임 안지려고 미룸.연차쓰면 눈치줌.""","
장점은 외부에서 보여지는 네임벨류. 끝.커피머신이 있다. (캡슐)토스트를 주는데 일찍오면 먹는다.
","
낮은 연봉. 한국의 중소기업의 나쁜 점을 다 가지고 있다.사업부문마다 차별 존재.일 안하는 사람이 매우 많다. 연차쓰면 눈치줌.
","
바뀌려는 척 말고 바뀌어야 합니다.계속 다니는게 의미가 있을까 ? 생각 드네요..
"
유통/무역,전직원,서울,2021. 09,4.0,"""사실 큰 기대가 없으면 별로 일은 어렵지 않습니다. 업무량도 많지 않고 외국계기업이라서 그런지 수평적 관계도 좋습니다.""","
연차, 휴가 쓰는거에 대해 뭐라뭐라 하지 않습니다만, 팀바이팀 느낌은 좀 있습니다.
","
약간 꼰대들이 있어요. 소기업 특성상 오래다닌 꼰대들이 좀 많아요. 한귀도 듣고 한귀로 흘리게 되지않아 퇴사했어요.
","
물갈이좀 했으면 좋겠습니다. 오래다닌 남자직원들에게 느끼는 꼰대 마인드가 만연함
"
기획/경영,전직원,서울,2021. 08,4.0,"""그냥 월급받으며 편히 다니고 싶은 사람에게 추천-! 안정적이다""","
안정적인 사업 그냥 있어도 팔리는 상품회사 네임밸류ㅠ
","
커리어 개발이 1도 안된다 부바부 심하지만 전반적으로 프로세스가 올드함......
","
직원들 커리어 개발이나 겨육에도 힘써주생요
"
서비스/고객지원,전직원,서울,2021. 06,3.0,"""외국기업과 한국기업 문화 믹스된 문화골프업계에서는 높은 네임밸류""","
골프 업계 높은 네임밸류와 인지도가족 같은 분위기?!
","
자유로워 보이려고 하지만 매우 보수적인 회사사원들이 많이 고여있음일하는 사람만 성실히 일함
","
나름 노력한다고 봅니다.존경할 수 있는 상사분들도 있고바라는점은 딱히 없네요~
"
마케팅/시장조사,전직원,서울,2021. 06,3.0,"""적당히 좋은 분위기와 사람들이 좋은 곳""","
칼퇴, 복리후생비, 기업문화, 적절한 복지, 사람들이 좋다
","
다들 고인물이다 조직이 다함께 같이 늙어간다 다들 친하고 가까운 장점이 있으나 그만큼 경직된 사고 체계.
","
피라미드형 조직구성이 필요하지 않을까. 다 승진하고 다 장기근속하니 역삼각형되어가는 조직구조
"
금융/재무,현직원,서울,2021. 02,4.0,"""직원을 생각하는 곳입니다분위기 좋아 업무환경이 좋습니다""","
배려하는 분위기가 좋습니다비정상적인 실적 압박 없이 합리적으로 일할수 있습니다.
","
연봉이 높지 않습니다성과 보상에 따른 합리적인 보상 체계가 있어야 할구 같습니다.
","
합리적인 보상 체계를 마련해 줬으면 한다미국 본사의 정책 공유를 해줬으면.
"
기획/경영,전직원,서울,2021. 02,5.0,"""좋아요 점점성장하는회사임이분명합니다.시스템그로벌기업문화와로컬문화두개다존재합니다""","
연차대체로자유롭고좋아요분위기좋아요사람들좋아요배울거많아요
","
돈...돈이문제일세...좀더 많이주고이익도함께 많이나누어주면좋지않겠어요?
","
합리적인의사결정을희망합니다직원교육많이좀시켜주고배려부탁드립니다
"
영업/제휴,현직원,서울,2021. 01,5.0,"""골프업계 탑클라스인지도, 프라이드를 가지고 다닐수 있는회사""","
사람을 소중히 여기는 회사경영진 마인드가 깨어있음남부럽지않는 복지체계목표를 향해 임직원이 하나가되어 자기역할 충실
","
단점?이라기보다철저히 성과위주의 평가외국계이기때문에 영어는 부서마다 다르지만 필수불가결
","
미국본사가 중심이지만 한국실정과 환경에 맞는 멋진 경영 부탁드립니다!!
"
서비스/고객지원,전직원,서울,2020. 10,2.0,"""사업을 계속 확장해나가고 있기 때문에 기업은 지속적으로 클 것이다.""","
월급이 밀린 적 없음. 내부 시스템이 잘 구축되어 있음. 전산으로 업무처리되도록 잘 개발됨. 복리후생이 좋은 편. 샌드위치 휴일에는 연달아 쉬는 편.
","
업무에 비해 연봉이 낮음. 과도한 업무량. 직원에 대한 배려부족. 은근한 업무에 대한 압박. 티안나게  수직적인 기업문화.
","
인력시장에 사람은 많으나 직원 한 사람 한 사람 소중히 대해주었으면 합니다.
"
마케팅/시장조사,전직원,서울,2020. 10,3.0,"""무난하게 일할 수 있는 환경신입 추천드려요""","
자유로운 분위기 연차 자유로움눈치 안봄또 장점이 뭐가 있을까
","
고인물이 항상문제 아닐까요...몇몇 수직문화가 여기저기 남어있습니다
","
돈을 너무 아까워하지않앗으몀......
"
유통/무역,현직원,서울,2020. 07,4.0,"""가족같은회사이며 골프업계에서는 탑입니다시스템등 잘갖추어진회사라고생각합니다""","
연차자유롭고..분위기가족같으며 업무강도는중간정도이나함께하는분위기입니다능력에따라사내이동도가능
","
연봉이조금낮게측정되어있는게아쉽고능력치보다 금액이..진급되도연봉인상이없어요
","
비전에대한제시를 직원들에게 해주면좋겠습니다외국계더라도 좀더많은연봉.,
"
서비스/고객지원,전직원,서울,2019. 11,3.0,"""처음 접해보는 직종으로서 많은 경험을 할수있는 회사입니다.""","
여러가지로 배울점이 많고 단합력이 아주 좋은 회사입니다.
","
함께일하는 사람들은 나쁘지않으나 어느정도에 거리감은 항상 느껴지며 지극히 개인적인 회사
","
앞으로의 업무의 효율성을 위해 아래직원들의 말과 심리적인부분을 신중히 들어주셨으면 합니다.
"
기획/경영,현직원,서울,2019. 09,3.0,"""굉장히 자유로운 분위기. 해외파들이 많기에 영어를 많이 쓰고 골프업계의 탑이라고 볼 수 있기에 애사심이 강하다""","
연차를 윗사람 눈치 안보고 쓸 수 있고 샌드위치에는 다 쉼. 애사심이 강해지고 중소기업 치고는 복지가 좋음
","
연봉이 적음.. 직급이 낮을수록 외국계 네임밸류에 비해 매우 낮음
","
윗급들이 아닌 밑에급들이 지지하고 있다는 점
"
